product_id,sku_id,name,department_name,category_name,sub_category_name,brand_id,brand_name,link,image_url,stock,list_price,price,product_reference,sku_reference,specification_number,size,color,gender
1727783,1727787,Jean Hombre Azul 1 Azul 28,Moda,Hombre,Jeans para Hombre,259,TERRAIN,https://www.oechsle.pe/TERRAIN-jean-hombre-azul-1-1727783/p,https://oechsle.vteximg.com.br/arquivos/ids/2290014/1727787.jpg?v=637495234982570000,7,89.95,69.95,1727783,1727787,3,28,Azul,Hombre
1727790,1727794,Jean Hombre Celeste 1 Celeste 28,Moda,Hombre,Jeans para Hombre,259,TERRAIN,https://www.oechsle.pe/TERRAIN-jean-hombre-celeste-1-1727790/p,https://oechsle.vteximg.com.br/arquivos/ids/2289985/1727794.jpg?v=637495235480300000,0,89.95,69.95,1727790,1727794,4,28,Celeste,Hombre
1727797,1727801,Jean TERRAIN Hombre Celeste 28,Moda,Hombre,Jeans para Hombre,259,TERRAIN,https://www.oechsle.pe/TERRAIN-jean-hombre-celeste-1727797/p,https://oechsle.vteximg.com.br/arquivos/ids/2289950/1727801.jpg?v=637495235994130000,0,89.95,69.95,1727797,1727801,4,28,Celeste,Hombre
1727804,1727808,Jean TERRAIN Hombre Negro 28,Moda,Hombre,Jeans para Hombre,259,TERRAIN,https://www.oechsle.pe/TERRAIN-jean-hombre-negro-1727804/p,https://oechsle.vteximg.com.br/arquivos/ids/2290039/1727808.jpg?v=637495236748570000,0,89.95,69.95,1727804,1727808,4,28,Negro,Hombre
1727811,1727815,Jean Hombre Azul Azul 28,Moda,Hombre,Jeans para Hombre,259,TERRAIN,https://www.oechsle.pe/TERRAIN-jean-hombre-azul-1727811/p,https://oechsle.vteximg.com.br/arquivos/ids/2289960/1727815.jpg?v=637495237621900000,0,89.95,69.95,1727811,1727815,3,28,Azul,Hombre
2830178,2830179,Pantalón Hombre Textura TERRAIN Azul Talla 28,Moda,Hombre,Pantalones Hombre,259,TERRAIN,https://www.oechsle.pe/pantalon-hombre-textura-TERRAIN-2830178/p,https://oechsle.vteximg.com.br/arquivos/ids/21181744/2830179.jpg?v=638835249567170000,13,99.95,99.95,2830178,2830179,9,28,Azul,Hombre
2830178,2830184,Pantalón Hombre Textura TERRAIN Grafito Talla 28,Moda,Hombre,Pantalones Hombre,259,TERRAIN,https://www.oechsle.pe/pantalon-hombre-textura-TERRAIN-2830178/p,https://oechsle.vteximg.com.br/arquivos/ids/21181760/2830184.jpg?v=638835249616100000,15,99.95,99.95,2830178,2830184,9,28,Grafito,Hombre
2830178,2830189,Pantalón Hombre Textura TERRAIN Gris Talla 28,Moda,Hombre,Pantalones Hombre,259,TERRAIN,https://www.oechsle.pe/pantalon-hombre-textura-TERRAIN-2830178/p,https://oechsle.vteximg.com.br/arquivos/ids/21181776/2830189.jpg?v=638835249665070000,16,99.95,99.95,2830178,2830189,9,28,Gris,Hombre
2232544,2232545,Pantalon TERRAIN Slim Camel Hombre  28,Moda,Hombre,Pantalones Hombre,259,TERRAIN,https://www.oechsle.pe/pantalon-TERRAIN-slim-camel-hombre-2232544/p,https://oechsle.vteximg.com.br/arquivos/ids/12941793/2232545.jpg?v=638066510070570000,34,89.95,74.95,2232544,2232545,6,28,Haya,Hombre
2232537,2232538,Pantalon TERRAIN Slim Verde Hombre  28,Moda,Hombre,Pantalones Hombre,259,TERRAIN,https://www.oechsle.pe/pantalon-TERRAIN-slim-verde-hombre-2232537/p,https://oechsle.vteximg.com.br/arquivos/ids/12941768/2232538.jpg?v=638066509936700000,42,89.95,74.95,2232537,2232538,6,28,Verde Salvia,Hombre
2232551,2232552,Pantalon TERRAIN Slim Acero Hombre  28,Moda,Hombre,Pantalones Hombre,259,TERRAIN,https://www.oechsle.pe/pantalon-TERRAIN-slim-acero-hombre-2232551/p,https://oechsle.vteximg.com.br/arquivos/ids/12941743/2232552.jpg?v=638066510206930000,43,89.95,74.95,2232551,2232552,6,28,Azul Acero,Hombre
2232558,2232559,Pantalon TERRAIN Slim Charcoal Hombre  28,Moda,Hombre,Pantalones Hombre,259,TERRAIN,https://www.oechsle.pe/pantalon-TERRAIN-slim-charcoal-hombre-2232558/p,https://oechsle.vteximg.com.br/arquivos/ids/12941708/2232559.jpg?v=638066510326670000,51,89.95,74.95,2232558,2232559,6,28,Inox,Hombre
2892027,2892029,Jean Mujer XYZ Recto Gris Talla 28,Moda,Mujer,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-recto-2892027/p,https://oechsle.vteximg.com.br/arquivos/ids/21325772/2892029.jpg?v=638852736780730000,12,119.00,119.00,2892027,2892029,10,28,Gris,Mujer
2800287,2800289,Jean Mujer Basico Denim XYZ 28,Moda,Mujer,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-basico-denim-XYZ-2800287/p,https://oechsle.vteximg.com.br/arquivos/ids/20896458/2800289.jpg?v=638793166040030000,0,79.95,79.95,2800287,2800289,10,28,Gris,Mujer
2800287,2800293,Jean Mujer Basico Denim XYZ 28,Moda,Mujer,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-basico-denim-XYZ-2800287/p,https://oechsle.vteximg.com.br/arquivos/ids/20896454/2800293.jpg?v=638793166257430000,4,79.95,79.95,2800287,2800293,10,28,Azul,Mujer
2800287,2800297,Jean Mujer Basico Denim XYZ 28,Moda,Mujer,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-basico-denim-XYZ-2800287/p,https://oechsle.vteximg.com.br/arquivos/ids/20896462/2800297.jpg?v=638793166491930000,8,79.95,79.95,2800287,2800297,10,28,Negro,Mujer
2856912,2856915,Jean Mujer Levi's 314 Shaping Straight AZUL OSCURO 28,Moda,Mujer,Jeans Mujer,3611,LEVIS,https://www.oechsle.pe/jean-mujer-shaping-straight-azul-oscuro-levis-2856912/p,https://oechsle.vteximg.com.br/arquivos/ids/20900514/2856915.jpg?v=638793426429700000,2,199.00,199.00,2856912,2856915,11,28,Azul Oscuro,Mujer
2856845,2856849,Jean Mujer Levi's 314 Shaping Straight CELESTE 28,Moda,Mujer,Jeans Mujer,3611,LEVIS,https://www.oechsle.pe/jean-mujer-shaping-straight-celeste-levis-2856845/p,https://oechsle.vteximg.com.br/arquivos/ids/20900296/2856849.jpg?v=638793423618030000,3,229.00,229.00,2856845,2856849,11,28,Celeste Cielo,Mujer
2856854,2856859,Jean Mujer Levi's 501 Fw AZUL 28,Moda,Mujer,Jeans Mujer,3611,LEVIS,https://www.oechsle.pe/jean-mujer-for-women-azul-levis-2856854/p,https://oechsle.vteximg.com.br/arquivos/ids/20900362/2856859.jpg?v=638793423990400000,3,319.00,319.00,2856854,2856859,11,28,Azul Oscuro,Mujer
2856920,2856925,Jean Mujer Levi's 501 Fw AZUL CLARO 28,Moda,Mujer,Jeans Mujer,3611,LEVIS,https://www.oechsle.pe/jean-mujer-for-women-azul-claro-levis-2856920/p,https://oechsle.vteximg.com.br/arquivos/ids/20900486/2856925.jpg?v=638793426970030000,2,319.00,319.00,2856920,2856925,11,28,Azul Claro,Mujer
2775418,2775420,Jean Mujer Corto XYZ CELESTE 28,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-corto-XYZ-2775418/p,https://oechsle.vteximg.com.br/arquivos/ids/20326890/2775420.jpg?v=638726449767000000,4,119.00,79.95,2775418,2775420,12,28,Celeste Cielo,Mujer
2775979,2775981,Jean Mujer Gray XYZ  ECRU 28,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-gray-XYZ-2775979/p,https://oechsle.vteximg.com.br/arquivos/ids/20586269/2775981.jpg?v=638767295896130000,0,119.00,79.95,2775979,2775981,12,28,Crema,Mujer
2858305,2858307,Jean Mujer XYZ Ankle Azul Talla 28,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-ankle-2858305/p,https://oechsle.vteximg.com.br/arquivos/ids/21325756/2858307.jpg?v=638852736626870000,7,119.00,79.95,2858305,2858307,11,28,Azul,Mujer
2858277,2858279,Jean Mujer XYZ Brown 1 Marrón Talla 28,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-brown-1-2858277/p,https://oechsle.vteximg.com.br/arquivos/ids/21455375/2858279.jpg?v=638865490903300000,3,119.00,79.95,2858277,2858279,11,28,Marrón,Mujer
2846486,2846488,Jean Mujer XYZ Black Negro Talla 28,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-black-2846486/p,https://oechsle.vteximg.com.br/arquivos/ids/21029152/2846488.jpg?v=638810228784100000,3,119.00,79.95,2846486,2846488,11,28,Negro,Mujer
2846480,2846482,Jean Mujer XYZ Anahi Azul Oscuro Talla 28,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-anahi-2846480/p,https://oechsle.vteximg.com.br/arquivos/ids/20945981/2846482.jpg?v=638797967001370000,7,119.00,79.95,2846480,2846482,10,28,Azul Oscuro,Mujer
2846462,2846464,Jean Mujer XYZ Jerel Botones Celeste Talla 28,Moda,Mujer Venta Final,Jeans Mujer,3965,XYZ,https://www.oechsle.pe/jean-mujer-XYZ-jerel-botones-2846462/p,https://oechsle.vteximg.com.br/arquivos/ids/20945917/2846464.jpg?v=638797964675000000,11,119.00,79.95,2846462,2846464,10,28,Celeste,Mujer
